id,label,type,description,code,topic_number,concept_num,objective_code
term:seiberg-witten-invariant,Seiberg–Witten invariant,term,Seiberg–Witten invariants are smooth 4-manifold invariants defined by counting solutions to the Seiberg–Witten equations (a system coupling a spinor and a $U(1)$ connection). They are easier to compute than Donaldson invariants and equivalent to them for simply-connected 4-manifolds by Witten's conj…,,,,
term:shimura-variety,Shimura variety,term,"A Shimura variety is a complex algebraic variety $\mathrm{Sh}(G,X) = G(\mathbb{Q})\backslash X \times G(\mathbb{A}_f)/K$ defined by a reductive group $G$ over $\mathbb{Q}$ and a Hermitian symmetric domain $X$. Shimura varieties serve as moduli spaces for abelian varieties with additional structure a…",,,,
term:singular-integral,Singular integral,term,"A singular integral is a convolution operator $Tf(x) = \mathrm{p.v.}\int K(x-y)f(y)\,dy$ where the kernel $K$ has a non-integrable singularity at the origin (e.g., the Hilbert transform, Riesz transforms). Calderón–Zygmund theory gives $L^p$ boundedness for $1 < p < \infty$ and weak $(1,1)$ estimate…",,,,
term:singular-space,Singular space,term,"A singular space is a topological or algebraic-geometric space that fails to be a manifold at some points (the singular locus). Analytic tools — intersection homology, perverse sheaves, resolution of singularities, Alexandrov geometry — extend manifold theory to this setting.",,,,
term:sle,SLE (Schramm–Loewner evolution),term,"Schramm–Loewner evolution $\mathrm{SLE}_\kappa$ is a one-parameter family of random fractal planar curves characterised by conformal invariance and the domain Markov property. It describes the scaling limits of interfaces in critical 2D statistical mechanics models (percolation, Ising, loop-erased r…",,,,
term:sobolev-space,Sobolev space,term,"The Sobolev space $W^{k,p}(\Omega)$ consists of $L^p(\Omega)$ functions whose distributional derivatives up to order $k$ also lie in $L^p(\Omega)$, with norm $\|u\|_{W^{k,p}} = \sum_{|\alpha|\le k}\|D^\alpha u\|_p$. Sobolev embedding theorems control pointwise or Hölder regularity of functions in th…",,,,
term:spectral-gap,Spectral gap,term,"The spectral gap of a Markov semigroup or Laplacian is the difference $\lambda_1 - \lambda_0$ between the smallest two eigenvalues, controlling the rate of convergence to equilibrium. Positive spectral gap implies exponential mixing and is related to Poincaré inequalities and expander graphs.",,,,
term:spectral-sequence,Spectral sequence,term,"A spectral sequence $\{E_r^{p,q}, d_r\}$ is a sequence of bigraded abelian groups with differentials $d_r\colon E_r^{p,q}\to E_r^{p+r,q-r+1}$ such that $E_{r+1} = H(E_r, d_r)$, converging (under suitable conditions) to the graded pieces of a filtered group. Spectral sequences compute cohomology of f…",,,,
term:sphere-spectrum,Sphere spectrum,term,The sphere spectrum $\mathbb{S}$ is the unit object in the symmetric monoidal $\infty$-category of spectra; its homotopy groups $\pi_n(\mathbb{S})$ are the stable homotopy groups of spheres. It plays the role of $\mathbb{Z}$ in algebra: every ring spectrum is a module over $\mathbb{S}$.,,,,
term:stable-infinity-category,Stable ∞-category,term,"A stable $\infty$-category is an $\infty$-category with a zero object in which a square is a pushout if and only if it is a pullback, making the suspension functor $\Sigma$ an equivalence. The $\infty$-derived category and the $\infty$-category of spectra are the primary examples; they provide the s…",,,,
term:stochastic-pde,Stochastic PDE,term,"A stochastic PDE (SPDE) is a partial differential equation driven by a random noise term, typically space-time white noise. Hairer's theory of regularity structures and Gubinelli–Imkeller–Perkowski's paracontrolled distributions provide rigorous solution theories for subcritical SPDEs like KPZ and $…",,,,
term:surgery-theory,Surgery theory,term,"Surgery theory classifies manifolds by cutting out embedded spheres and re-gluing to change topology, guided by the surgery obstruction in Wall's L-groups. Combined with the s-cobordism theorem, it gives a complete classification of simply-connected manifolds of dimension $\ge 5$ via the surgery exa…",,,,
term:symmetric-monoidal-category,Symmetric monoidal category,term,"A symmetric monoidal category is a category $\mathcal{C}$ with a tensor product $\otimes$, unit object $I$, and natural isomorphisms for associativity, unit, and commutativity satisfying coherence axioms. Examples include $(\mathbf{Ab},\otimes_{\mathbb{Z}})$, $(\mathbf{Vect}_k,\otimes_k)$, and the $…",,,,
term:teichmuller-space,Teichmüller space,term,"The Teichmüller space $\mathcal{T}_g$ parameterises marked hyperbolic metrics (equivalently, complex structures) on a genus-$g$ surface up to isotopy. It carries the Teichmüller metric (Finsler) and the Weil–Petersson metric (Kähler), and the mapping class group acts on it properly discontinuously.",,,,
term:topological-field-theory,Topological field theory,term,"A topological field theory (TFT) is a symmetric monoidal functor $Z\colon \mathbf{Cob}_n \to \mathbf{Vect}$ from the cobordism category to vector spaces, assigning invariants to manifolds that depend only on topology. Atiyah's axioms formalise this; examples include Chern–Simons theory and Reshetikh…",,,,
term:topological-k-theory,Topological K-theory,term,Topological K-theory $K^0(X)$ is the Grothendieck group of (virtual) complex vector bundles on a compact Hausdorff space $X$; together with $K^1(X)$ it forms a generalised cohomology theory by Bott periodicity $K^n(X)\cong K^{n+2}(X)$. It is connected to the index theorem and C*-algebra K-theory via…,,,,
term:topos-theory,Topos theory,term,"A Grothendieck topos is a category equivalent to the category of sheaves on a site; elementary toposes are categories satisfying Lawvere–Tierney axioms. Topos theory provides a generalised notion of space that encompasses algebraic geometry (étale topos), logic (Heyting algebra), and higher topos th…",,,,
term:torsion,Torsion,term,Algebraic torsion refers to elements $x$ in an abelian group with $nx=0$ for some $n>0$; Whitehead torsion $\tau(f)\in Wh(\pi_1)$ is an obstruction to a homotopy equivalence of CW complexes being a simple homotopy equivalence. Reidemeister torsion is a finer invariant distinguishing manifolds with t…,,,,
term:trace-map,Trace map,term,"Trace maps — including the Dennis trace $K_*(R)\to HH_*(R)$, the cyclotomic trace $K_*(R)\to TC_*(R)$, and the Chern character — relate algebraic K-theory to more computable invariants (Hochschild homology, topological cyclic homology). They are key tools for K-theory computations.",,,,
term:unitary-representation,Unitary representation,term,A unitary representation of a group $G$ is a continuous group homomorphism $\pi\colon G \to U(\mathcal{H})$ for some Hilbert space $\mathcal{H}$. The unitary dual $\hat G$ classifies irreducible unitary representations; its structure governs harmonic analysis on $G$ via the Plancherel theorem.,,,,
term:universal-coefficient-theorem,Universal coefficient theorem,term,The universal coefficient theorem relates the homology $H_n(X;G)$ with coefficients in $G$ to $H_n(X;\mathbb{Z})$ and $H_{n-1}(X;\mathbb{Z})$ via a short exact sequence involving $\mathrm{Tor}$ and $\otimes G$. An analogous sequence computes cohomology from homology using $\mathrm{Ext}$ and $\mathrm…,,,,
term:virtual-fundamental-class,Virtual fundamental class,term,"The virtual fundamental class $[M]^{\mathrm{vir}} \in H_*(M)$ is a homology class associated to a moduli space $M$ of expected dimension $d$, defined using a perfect obstruction theory even when $M$ is not of pure dimension $d$. It is the correct cycle for integration in Gromov–Witten and Donaldson–…",,,,
term:von-neumann-algebra,Von Neumann algebra,term,"A von Neumann algebra is a *-subalgebra of $B(\mathcal{H})$ that is closed in the weak operator topology, equivalently equal to its double commutant $M = M''$. Factors — von Neumann algebras with trivial centre — are classified into types I, II, III; the type $\mathrm{II}_1$ case is the setting of f…",,,,
term:waldhausen-k-theory,Waldhausen K-theory,term,"Waldhausen's algebraic K-theory $A(X)$ of a space $X$ is defined via the K-theory of the Waldhausen category of finite retractive spaces over $X$, with $A(*) \simeq K(\mathbb{Z})$ at a point. It appears in the stable parametrised h-cobordism theorem and connects to topological Hochschild homology vi…",,,,
term:weil-conjecture,Weil conjectures,term,"The Weil conjectures (proved by Deligne in 1974) describe the zeta function $Z(X/\mathbb{F}_q; t)$ of a variety over a finite field: it is a rational function satisfying a functional equation, and its zeroes and poles lie on circles of prescribed radius (Riemann hypothesis analogue). Their proof use…",,,,
term:white-noise,White noise,term,White noise is a generalised stochastic process $\xi$ formally satisfying $\mathbb{E}[\xi(x)\xi(y)] = \delta(x-y)$; rigorously it is a random tempered distribution. Space-time white noise drives SPDEs such as the stochastic heat equation; its regularity properties necessitate renormalisation in subc…,,,,
term:whitehead-group,Whitehead group,term,The Whitehead group $Wh(G) = K_1(\mathbb{Z}[G])/\{\pm g : g\in G\}$ measures the obstruction to a homotopy equivalence of finite CW complexes being a simple homotopy equivalence (Whitehead torsion). The Farrell–Jones conjecture implies $Wh(G) = 0$ for torsion-free groups.,,,,
term:z-stability,$\mathcal{Z}$-stability,term,"A separable unital C*-algebra $A$ is $\mathcal{Z}$-stable if $A \cong A \otimes \mathcal{Z}$, where $\mathcal{Z}$ is the Jiang–Su algebra. $\mathcal{Z}$-stability is a regularity condition that, combined with finite nuclear dimension, implies classifiability by the Elliott invariant in the classific…",,,,
objective:o1,O1 — Push frontiers in K-theory and attack open questions in topology,objective,"This group builds and computes algebraic ""fingerprints"" of spaces and algebras. K-theory is the central fingerprint. They use it to decide when two shapes are really the same, to bound the curvature of manifolds, and to classify operator algebras.",O1,,,
objective:o2,O2 — Study moduli spaces to advance the Langlands programme and other fields,objective,"Instead of studying one curve or one geometric object, they study the *space of all of them*. The arithmetic of these spaces feeds the Langlands programme; their geometry feeds topology, differential geometry, and physics.",O2,,,
objective:o3,"O3 — Open questions in C\*-algebras, model building, and set theory",objective,"This group builds different logical universes to test which mathematical statements are provable, independent, or require strong infinity assumptions — probing the boundaries of what mathematics can decide.",O3,,,
objective:o4,O4 — PDEs and differential geometry via method transfer,objective,"They ask: how much does *local* bending control the *overall* shape of a space? They aim to classify highly curved or Einstein spaces, gradually dropping symmetry assumptions until none remain.",O4,,,
objective:o5,O5 — Stochastic analysis for non-commutative field theories,objective,"They use randomness and non-commutative probability to rigorously *construct* quantum field theories on exotic ""non-commutative"" spaces — a goal physicists assume but mathematicians have not fully proven.",O5,,,
objective:o6,O6 — Structures and their limits in stochastic models,objective,"They study large random networks, tilings, and particle systems, and the smooth limiting shapes that emerge when these structures grow very large.",O6,,,
objective:o7,O7 — Structures in multiscale processes; effective models,objective,"Many systems mix small and large scales. They derive simpler ""effective"" equations valid at the large scale, prove how accurate these approximations are, and solve optimisation/control problems on top of them.",O7,,,
objective:o8,O8 — Innovative simulation via model- and data-based approaches,objective,"They put machine learning on a rigorous mathematical footing — analysing why training works and combining data-driven networks with classical models to build fast, *provably accurate* simulators for physics and engineering.",O8,,,
topic:topic-01,Topic 1: K-groups and Cohomology,topic,K-groups and Cohomology,,1,,O1
topic:topic-02,Topic 2: Moduli Spaces in Arithmetic and Geometry,topic,Moduli Spaces in Arithmetic and Geometry,,2,,O2
topic:topic-03,Topic 3: Models and Universes,topic,Models and Universes,,3,,O3
topic:topic-04,Topic 4: Groups and Actions,topic,Groups and Actions,,4,,O3
topic:topic-05,"Topic 5: Curvature, Shape and Global Analysis",topic,"Curvature, Shape and Global Analysis",,5,,O4
topic:topic-06,Topic 6: Singularities and Partial Differential Equations,topic,Singularities and Partial Differential Equations,,6,,O4
topic:topic-07,Topic 7: Field Theory and Randomness,topic,Field Theory and Randomness,,7,,O5
topic:topic-08,Topic 8: Random Discrete Structures and Their Limits,topic,Random Discrete Structures and Their Limits,,8,,O6
topic:topic-09,Topic 9: Multiscale Processes and Effective Behaviour,topic,Multiscale Processes and Effective Behaviour,,9,,O7
topic:topic-10,Topic 10: Deep Learning and Surrogate Methods,topic,Deep Learning and Surrogate Methods,,10,,O8
concept:topic-01-concept-1,Cohomology,concept,"Imagine you want to tell shapes apart without touching them: a ball, a doughnut,
a pretzel. A doughnut has **one hole**, a pretzel has **two**. Cohomology is a
careful way of *counting holes of different kinds* (gaps you can loop a string
around, hollow cavities, etc.) and recording the answer as a …",,,1,
concept:topic-01-concept-2,K-theory (algebraic and topological),concept,"Think of all the ways you can lay down arrows (little vectors) smoothly over a
shape — for example combing the hair on a ball. Some arrangements can be undone
to nothing, others are ""stuck"". K-theory bundles up all these arrangements and
turns them into a number system you can add and subtract with.…",,,2,
concept:topic-01-concept-3,The Farrell–Jones conjecture,concept,"Some mathematical objects attached to a group are very hard to compute directly.
This conjecture says: you can always build the hard global answer out of easy
local pieces — namely the small, simple subgroups. Like reconstructing a whole
mosaic if you know just a few special tiles.",,,3,
concept:topic-01-concept-4,The Borel conjecture and topological rigidity,concept,"If two rubbery shapes have the *same kind of fundamental loops*, are they really
the same shape? For a special well-behaved family the answer is conjectured to be
yes — they cannot be secretly different.",,,4,
concept:topic-01-concept-5,C\*-algebras and their classification,concept,"Quantum physics needs a number system where multiplication order matters
($`a\times b \ne b\times a`$). C\*-algebras are such systems of ""operators"".
K-theory gives each one a fingerprint; mathematicians want to prove that the
fingerprint alone tells them apart.",,,5,
concept:topic-02-concept-1,Moduli space,concept,"Instead of studying one triangle, imagine a ""map of all triangles"", where each
point of the map stands for one possible triangle shape. Walking across the map
continuously morphs one triangle into another. A **moduli space** is exactly such
a ""map of all shapes of a given type"" — its points *are* ge…",,,1,
concept:topic-02-concept-2,The Langlands programme,concept,"There are two very different worlds in mathematics: one about whole numbers and
equations, another about waves and symmetry. The Langlands programme is a giant
dictionary claiming these two worlds secretly say the same things — a ""Rosetta
Stone"" of mathematics.",,,2,
concept:topic-02-concept-3,Compactification and stratification,concept,"A map of all shapes often has ""edges"" where shapes degenerate (a circle pinching
to a figure-eight). To study the map fully you add those boundary cases, like
adding the horizon to a landscape so nothing runs off the edge.",,,3,
concept:topic-02-concept-4,Cohomological invariants and intersection theory,concept,"Once you have your map of shapes, you can ask geometric questions about the map
itself: how many curves pass through given points? Counting such things cleverly
reveals hidden patterns and even connects to physics.",,,4,
concept:topic-02-concept-5,Diffeomorphism groups and spaces of metrics,concept,"Take a rubber shape; all the ways of smoothly stretching it without tearing form
their own ""space of stretches"". And all the ways of measuring distances on it
(its possible geometries) form yet another space. Studying these spaces tells us
which shapes are flexible and which are rigid.",,,5,
concept:topic-03-concept-1,Model theory and first-order structures,concept,"A ""rule book"" (axioms) can be obeyed by different ""worlds"". For example ""every
element has an opposite"" is obeyed by the integers and by many other systems.
Model theory studies all the worlds that obey a given rule book, and what they
must have in common.",,,1,
concept:topic-03-concept-2,Homogeneous structures and Fraïssé limits,concept,"Some objects look ""the same from everywhere"" — like an infinite perfectly regular
network where every point has an identical view. You can build such an object by
gluing together all its small finite pieces in the most generic way.",,,2,
concept:topic-03-concept-3,Universes of set theory and forcing,concept,"All of mathematics can be built from ""sets"". But there is not just one possible
universe of sets — there are many, and some questions (like exactly how many real
numbers there are) get *different answers* in different universes. Set theorists
build and compare these universes.",,,3,
concept:topic-03-concept-4,Large cardinals,concept,"Infinity comes in many sizes. ""Large cardinals"" are sizes of infinity so vast
that their mere existence cannot be proved from the usual rules — yet assuming
them settles many otherwise-undecidable questions far below.",,,4,
concept:topic-03-concept-5,The Axiom of Determinacy,concept,"Imagine an infinite game where two players alternately pick numbers forever. One
of them is declared the winner by some rule. Determinacy says: in such games one
side always has a guaranteed winning strategy. Surprisingly, whether this holds
depends on which mathematical universe you live in.",,,5,
concept:topic-04-concept-1,Groups and group actions,concept,"A **group** is the mathematics of symmetry: the collection of all moves that leave
something looking the same (rotating a square by 90°, flipping it). A group
**acts** on an object when each of its moves rearranges that object. Studying the
moves tells you about the object, and vice versa.",,,1,
concept:topic-04-concept-2,"C\*-algebras, crossed products and Cartan subalgebras",concept,"When a symmetry group acts on a space, you can package the whole ""space + symmetry""
into a single algebraic object (a crossed product). Inside it sometimes hides a
simpler, well-organised ""coordinate grid"" called a Cartan subalgebra, which makes
the whole thing far easier to understand.",,,2,
concept:topic-04-concept-3,Amenability and property (T),concept,"Some groups are ""easygoing"" (you can average over them in a consistent way) and
some are ""rigid"" (they resist small deformations and approximations). These two
extremes behave very differently and lead to very different geometry.",,,3,
concept:topic-04-concept-4,Entropy and orbit equivalence,concept,"Take a system that evolves by repeating a symmetry over and over. ""Entropy""
measures how unpredictable or complex this evolution is. Two systems can look
different but secretly be re-labellings of each other — that is orbit equivalence.",,,4,
concept:topic-04-concept-5,"Algebraic groups, Lie groups and Bruhat–Tits buildings",concept,"Beyond finite symmetry there are *continuous* symmetries — like all rotations of a
sphere, which form a smooth, flowing family. These richer symmetry objects come
with their own geometric ""skeletons"" that help us understand them.",,,5,
concept:topic-05-concept-1,Riemannian manifolds,concept,"The surface of the Earth is curved: triangles drawn on it have angles adding to
*more* than 180°. A **Riemannian manifold** is any smooth curved space — of any
dimension — where we can still measure lengths and angles, hence distances and
""straightest possible"" paths.",,,1,
concept:topic-05-concept-2,Curvature and topological obstructions,concept,"The amount and sign of curvature limits what shapes are possible. You cannot comb a
hairy ball flat, and you cannot wrap a sphere onto a doughnut without distortion —
curvature ""knows"" the global shape.",,,2,
concept:topic-05-concept-3,Ricci flow and geometric flows,concept,"Imagine a lumpy ball of dough that automatically smooths itself out, the bumps
flowing away until it becomes a perfect sphere. **Ricci flow** is an equation that
makes a curved space evolve and smooth its curvature over time — the tool Perelman
used to prove the Poincaré conjecture.",,,3,
concept:topic-05-concept-4,Geodesics and infinite-dimensional shape spaces,concept,"The shortest flight path between two cities curves across the globe — that is a
geodesic. Now imagine a ""space"" whose points are entire *shapes* (say, all possible
outlines of a hand). A geodesic there is the most efficient way to morph one shape
into another — useful in computer graphics and medica…",,,4,
concept:topic-05-concept-5,Index theory and scalar curvature,concept,"There is a deep bridge between *analysis* (solving equations on a shape) and
*topology* (the shape's holes). Counting the solutions of a special equation
secretly counts holes — and this forbids certain shapes from being curved a
certain way.",,,5,
concept:topic-06-concept-1,Partial differential equations (PDEs),concept,"Most laws of nature say how things *change*: how heat spreads, how waves travel,
how planets pull. A PDE is an equation that relates these rates of change across
space and time. Solving it predicts the future from the present.",,,1,
concept:topic-06-concept-2,Singularities,concept,"Sometimes a smooth process suddenly breaks down: a wave crests and shatters, a
droplet pinches off, gravity collapses matter into a black hole. These breakdown
points are **singularities** — and they are usually the most interesting and
hardest part to understand.",,,2,
concept:topic-06-concept-3,Einstein manifolds and general relativity,concept,"Einstein discovered that gravity *is* the curving of spacetime by mass. The
equation governing this is one of the most important PDEs in physics, and the
shapes (geometries) it allows include black holes.",,,3,
concept:topic-06-concept-4,Black hole stability (the Kerr problem),concept,"If you ""poke"" a spinning black hole, does it wobble and settle back down, or fall
apart? Physically we expect it to settle — but proving this from the equations is
one of the great open challenges of mathematical physics.",,,4,
concept:topic-06-concept-5,Regularity theory and singular stochastic PDEs,concept,"""Regularity"" asks how smooth a solution is. When you add random noise everywhere
(like static), solutions become so jagged that the equation barely makes sense.
New mathematics was invented to give these noisy equations a precise meaning.",,,5,
concept:topic-07-concept-1,Quantum field theory (QFT),concept,"At the smallest scales, particles are ripples in invisible ""fields"" filling all of
space. Quantum field theory is the rulebook for these ripples — it powers the
Standard Model of particle physics. But making its mathematics fully rigorous is a
million-dollar open problem.",,,1,
concept:topic-07-concept-2,Stochastic quantisation,concept,"Instead of building a field ""all at once"", let it wiggle randomly over time like a
jittering elastic sheet until it settles into a stable random pattern. That
equilibrium pattern *is* the quantum field. Randomness becomes a construction tool.",,,2,
concept:topic-07-concept-3,Non-commutative geometry and the Moyal space,concept,"Normally $3\times 5 = 5\times 3$. But in quantum mechanics, measuring position then
momentum differs from the reverse order. ""Non-commutative spaces"" build geometry
out of such order-sensitive coordinates — a geometry where $xy \ne yx$.",,,3,
concept:topic-07-concept-4,Free probability and topological recursion,concept,"Ordinary probability adds independent random numbers (giving the bell curve). When
the ""random numbers"" are huge matrices that don't commute, a new kind of
probability is needed — and counting the shapes (surfaces) that appear organises
the answers into an elegant recursive pattern.",,,4,
concept:topic-07-concept-5,"Disorder, scaling limits and the polaron",concept,"A single electron dragging a cloud of distortion through a crystal behaves like a
heavier ""dressed"" particle — a polaron. Zoom out from many small random effects and
clean, universal behaviour emerges. Studying these limits links physics and
probability.",,,5,
concept:topic-08-concept-1,Random graphs,concept,"Draw some dots and connect each pair by flipping a coin. The result is a random
network — a toy model of a friendship network or the web. Surprisingly, as you add
dots, a giant connected cluster appears almost suddenly once links are frequent
enough.",,,1,
concept:topic-08-concept-2,Percolation and phase transitions,concept,"Imagine randomly opening or blocking the tiny channels in a porous rock. Below a
critical fraction of open channels, water cannot cross; above it, it suddenly can.
That sharp switch is a phase transition — the same idea as water freezing.",,,2,
concept:topic-08-concept-3,Random tessellations and polytopes (stochastic geometry),concept,"Scatter points at random, then give each point the territory closest to it — you get
a random patchwork of cells, like cracked mud or a giraffe's coat. Mathematicians
measure the typical shapes, areas and number of sides of these random tiles.",,,3,
concept:topic-08-concept-4,Interacting particle systems and scaling limits,concept,"Many simple agents following local random rules — cars on a road, particles hopping
on a line — together produce complex large-scale patterns. Zooming out turns the
jiggling crowd into a smooth flowing equation.",,,4,
concept:topic-08-concept-5,"Fluctuations, disorder and universality",concept,"Add many independent random things and you almost always get the same bell-shaped
curve — no matter the details. This ""universality"" is why averages are predictable.
Researchers hunt for which random systems share such universal large-scale laws.",,,5,
concept:topic-09-concept-1,Multiple scales and effective models,concept,"A sponge looks solid from far away but is full of tiny holes up close. To predict
how it soaks up water you don't track every pore — you find an ""effective"" rule for
the whole sponge. Multiscale maths is the art of jumping from tiny details to
big-picture rules.",,,1,
concept:topic-09-concept-2,Homogenisation,concept,"A finely striped material (alternating metal and plastic) behaves, overall, like a
single new material with averaged properties. Homogenisation computes those average
properties from the fine pattern.",,,2,
concept:topic-09-concept-3,Optimal control and the curse of dimensionality,concept,"A pilot steering a rocket wants the *best* path — least fuel, fastest arrival. Find
the best control among infinitely many options. But when there are many knobs to
turn at once, the number of possibilities explodes — the ""curse of dimensionality"".",,,3,
concept:topic-09-concept-4,Model order reduction,concept,"If you must re-run a slow, expensive simulation thousands of times (for different
settings), you first build a cheap ""mini-model"" that captures the essentials, then
run that instead. You trade a little accuracy for enormous speed.",,,4,
concept:topic-09-concept-5,"Mixing, equilibration and kinetic equations",concept,"Stir milk into coffee: streaks stretch and fold until the colour is uniform. How
fast can stirring mix things, and how fast does a gas settle to equilibrium? These
rates are what this unit pins down.",,,5,
concept:topic-10-concept-1,Artificial neural networks,concept,"A neural network is a flexible mathematical ""function machine"": you feed it inputs,
it produces outputs, and by adjusting many internal dials you can make it imitate
almost any pattern from examples. It is the engine behind modern AI.",,,1,
concept:topic-10-concept-2,Stochastic gradient descent (and its analysis),concept,"To train the network you tweak its dials to reduce its mistakes, step by step,
always heading ""downhill"" on an error landscape. To go fast you estimate the
downhill direction from a small random handful of examples each step. That is
stochastic gradient descent.",,,2,
concept:topic-10-concept-3,Deep learning methods for (S)PDEs,concept,"Classical methods solve a physics equation by chopping space into a fine grid —
impossible when there are too many dimensions. Instead, train a neural network to
*be* the solution. The equation itself becomes the teacher.",,,3,
concept:topic-10-concept-4,Surrogate models and multi-fidelity / certification,concept,"Use a fast rough estimator most of the time and an expensive accurate one only
occasionally, then blend them so the final answer is both cheap *and* trustworthy.
A ""certified"" surrogate even tells you how wrong it might be.",,,4,
concept:topic-10-concept-5,Inverse problems,concept,"A CT scanner never sees inside you directly — it measures shadows and reconstructs
the interior. Working backwards from effects to hidden causes is an inverse problem,
and small measurement errors can blow up, so it must be done carefully.",,,5,
